id,x,y,pd,zipcode
528435,-9759600.14,5153052.24,19,60613
2248829,-9754219.15,5117788.76,16,60628
870914,-9758119.25,5139942.08,12,60608
65160,-9754864.98,5145495.75,,60654
1694386,-9758249.73,5130022.43,7,60636
1767599,-9754745.36,5125247.39,7,60621
324073,-9768004.69,5145401.33,15,60651
2171138,-9757669.33,5115436.03,22,60643
721033,-9765547.2,5141956.55,11,60624
1494300,-9767655.01,5131135.08,8,60638
1541934,-9755091.16,5134721.85,9,60609
197324,-9762031.67,5143734.3,12,60606
2202851,-9753687.67,5113980.85,5,60628
990459,-9754298.13,5140091.52,1,60605
892980,-9754670.34,5139881.03,6,60616
185591,-9761254.5,5146071.58,12,60622
1751440,-9752325.85,5127044.14,3,60637
1028130,-9768696.05,5151782.77,2,60641
696275,-9773939.9,5148001.94,25,60707
1331992,-9774497.19,5151698.03,25,60634
14730,-9755327.56,5146561.48,18,60610
901035,-9759569.5,5136113.22,9,60608
2126172,-9746471.66,5120775.24,4,60617
1237971,-9774464.45,5157434.98,16,60656
1769997,-9754728.85,5125303.59,7,60621
1838802,-9758208.01,5127178.76,7,60636
1476974,-9765370.94,5133290.56,8,60632
280361,-9766197.62,5148345.3,25,60639
188014,-9761932.2,5145502.1,12,60622
618932,-9768613.43,5144950.31,15,
596977,-9770727.5,5147279.19,25,60651
849240,-9757361.37,5141983.45,12,60607
741972,-9761739.85,5143058.22,11,60612
55909,-9757394.84,5149432.76,18,60614
2023316,-9759414.57,5122572.87,6,60620
1533580,-9760965.6,5129605.42,8,60629
2160554,-9755680.68,5115548.85,22,60628
2416191,-9763264.88,5123961.7,8,60652
1613984,-9750589.02,5132363.85,2,60615
1359170,-9761431.41,5160626.57,24,60659
1164696,-9766295.53,5156488.07,17,60630
2241839,-9752319.17,5114278.34,5,60628
1735785,-9753181.12,5127454.68,3,60637
1006015,-9753635.71,5136705.96,2,60616
709713,-9773493.25,5150370.43,25,60707
998297,-9755293.12,5139225.39,9,60616
1943304,-9749426.83,5125965.45,3,60649
851345,-9756633.3,5140339.19,12,60607
791434,-9763939.18,5138118.3,10,60623
1598388,-9752561.99,5131687.31,2,60615
347646,-9768648.45,5143867.92,15,60644
641434,-9766649.13,5142370.07,11,60624
1171734,-9767697.51,5153204.83,17,
1900614,-9752480.6,5124464.85,6,
887501,-9755006.12,5141776.08,1,60605
625305,-9768907.13,5144600.78,15,60644
858569,-9755780.09,5139895.45,12,60631
1383232,-9762655.28,5161141.67,24,60645
24713,-9757000.26,5148619.73,18,60614
228710,-9761967.8,5147919.15,14,60647
692440,-9770322.67,5143633.88,15,60644
328387,-9769569.53,5147802.81,25,60639
400341,-9759317.52,5150754.59,19,60614
1366989,-9762132.64,5160484.83,24,60659
857845,-9755946.96,5140851.39,1,60607
2259479,-9751577.6,5117910.87,5,60628
2277631,-9756391.74,5113428.51,5,60643
776185,-9765376.45,5139206.88,10,60623
885064,-9760088.74,5138438.93,10,60608
2354641,-9757804.68,5158824.49,20,60660
849489,-9757892.82,5141969.62,12,60607
2006298,-9756366.33,5118586.26,22,60628
1969786,-9758303.01,5124407.66,6,60620
749535,-9761244.19,5141018.36,11,60612
709945,-9773530.45,5149575.43,25,60707
628608,-9770908.61,5140861.84,15,60637
1527496,-9762446.49,5130916.59,9,60632
879606,-9760170.84,5138996.23,,60608
728518,-9764967.93,5140159.42,10,60623
2021824,-9759328.41,5122035.44,6,60620
1623150,-9751547.74,5131044.25,2,60615
2500630,-9773944.48,5129865.4,8,60638
142239,-9757766.55,5143341.01,12,60614
377244,-9760364.59,5148779.37,14,60647
1958934,-9753786.78,5123473.28,6,60619
1774511,-9754884.2,5124697.17,6,60620
1334947,-9773829.3,5152210.12,16,60634
2299981,-9750150.64,5120015.63,4,60619
1995858,-9754243.27,5120075.18,7,60619
1747070,-9751739.49,5127952.63,18,60637
1356341,-9775977.25,5152191.93,31,60634
605363,-9770833.19,5145242.04,9,60651
2200135,-9753008.77,5114721.72,5,60628
203097,-9762661.1,5142631.82,11,60612
931338,-9756541.41,5133398.93,9,60609
2086932,-9747282.45,5123374.16,4,60617
1441648,-9759506.38,5158399.87,20,60640
2347420,-9758021.51,5158151.63,20,60640
2346359,-9757956.35,5157986.3,20,60640
674646,-9769786.91,5142610.48,15,60644
284285,-9765715.79,5148770.43,25,60639
245616,-9762539.06,5149286.56,14,60647
1656593,-9754229.16,5127006.67,3,60637
2153361,-9754211.35,5119295.18,5,60628
517215,-9756675.57,5152742.04,19,60657
861692,-9756801.93,5139972.2,12,60608
1333162,-9773220.34,5151740.06,16,60634
408087,-9756351.08,5151141.04,19,60657
208908,-9762114.49,5142258.91,11,60612
2343724,-9758106.27,5156991.73,20,60640
161931,-9761326.67,5146847.83,,60605
2141946,-9752572.52,5121194.3,6,60619
780214,-9766076.38,5138413.86,14,60623
225442,-9762755.04,5147925.83,14,60647
204346,-9762926.55,5143178.8,12,60612
398898,-9759033.75,5150061.53,19,60614
2203203,-9753342.32,5114098.43,5,60628
2123766,-9746862.19,5122156.78,4,60617
115620,-9753684.51,5145029.62,18,60611
1181406,-9767030.78,5153212.94,17,60641
999419,-9755182.76,5138426.38,9,60616
2452808,-9764254.56,5127493.25,8,60629
251192,-9761976.54,5148891.35,,60647
1752801,-9757926.52,5126700.02,7,60636
820190,-9760748.08,5138885.48,12,60608
1148404,-9768162.12,5158301.6,16,
447626,-9763125.4,5150243.71,14,60647
218338,-9763326.6,5147510.18,14,60622
2120431,-9746298.97,5120615.25,4,60617
2307034,-9747295.48,5119176.91,4,60617
265558,-9765903.19,5147380.87,25,60651
2327649,-9744669.18,5116951.23,4,60617
1373201,-9761203.99,5160712.87,24,60645
2279164,-9756270.99,5112927.78,5,60643
994573,-9754440.35,5138826.28,1,60616
2357187,-9759399.07,5162768.98,24,60626
1355518,-9775852.0,5152632.42,16,60634
924853,-9760243.68,5135590.16,9,60609
2303749,-9746918.58,5110464.04,4,60633
924067,-9760220.18,5135047.59,9,60609
1689427,-9757240.87,5131292.58,9,60609
2215534,-9755968.24,5112207.17,5,60628
2262375,-9749828.71,5119480.15,4,60617
1609585,-9753461.25,5135855.42,2,60616
1303618,-9769237.39,5153181.63,16,60641
2359085,-9759383.68,5161985.45,24,60626
557163,-9756599.38,5154177.42,19,60613
673820,-9768908.4,5142358.36,15,60644
2410818,-9751820.04,5109243.13,5,60827
1442131,-9759870.06,5158182.42,31,60640
2191783,-9758266.88,5114664.9,22,60643
741003,-9763056.62,5140108.07,10,60623
413970,-9757114.65,5151799.83,19,60657
1502131,-9766900.93,5129362.97,5,60629
1285949,-9775811.93,5160955.14,16,60631
97733,-9755192.3,5143188.84,1,60603
698844,-9773438.13,5147391.64,25,60707
