id,x,y,pd,ward,zipcode,beat,ct
0,-9756778.13,5151667.08,19,44,60657,1934,631
1,-9748367.8,5127437.36,3,5,60649,0331,8439
2,-9758069.29,5129358.09,7,16,60636,0713,6701
3,-9756316.71,5134973.4,9,,60609,0915,8399
4,-9757637.91,5126371.14,7,6,60636,0734,8437
5,-9754259.56,5135131.68,2,31,60653,0213,3514
6,-9767787.1,5159183.51,17,39,60646,1711,1203
7,-9766565.87,5138999.67,10,,60623,1012,2925
8,-9767539.81,5153466.61,17,30,60641,1731,8317
9,-9771455.46,5147653.66,25,29,60639,2513,8374
10,-9759644.72,5164283.03,24,49,60626,2422,101
11,-9769676.69,5130961.08,8,14,60638,0814,5607
12,-9763868.97,5143445.11,11,28,60624,1123,8368
13,-9754815.52,5116660.55,5,34,60628,0512,4910
14,-9749151.76,5124007.28,4,8,60649,0414,8342
15,-9747539.46,5120467.75,4,7,60617,0423,4805
16,-9756830.82,5147834.53,18,2,60614,1813,
17,-9758334.99,5115531.44,22,34,60644,2234,7501
18,-9754467.58,5135060.36,2,21,60630,0213,3514
19,-9756888.74,5136918.1,9,11,60608,0913,8402
20,-9763596.72,5132474.92,8,41,60632,0821,5804
21,-9749496.79,5131268.04,,5,60615,0234,619.02
22,-9765995.94,5128957.57,8,13,60629,0634,6203
23,-9753770.46,5144574.41,18,,,1834,814.03
24,-9762847.05,5142859.27,11,27,60612,1124,8370
25,-9752438.68,5130749.85,2,17,60615,,4003
26,-9759705.29,5127442.06,,15,60636,0726,6713
27,-9772460.98,5129504.75,8,23,60638,0811,5610
28,-9752245.73,5128035.86,3,25,60637,0312,4207
29,-9754639.27,5111236.05,5,9,60628,0523,5305.02
30,-9758974.4,5159492.49,20,,60660,2013,305
31,-9762952.22,5139886.68,17,24,60623,1022,
32,-9753264.42,5117687.49,5,9,60609,0511,4908
33,-9755543.11,5133762.77,9,3,60659,0925,8355
34,-9752085.53,5132175.66,2,4,60615,1922,3904
35,-9769785.34,5149986.63,25,30,60639,,1907.02
36,-9757328.91,5139983.8,12,25,60608,1235,3104
37,-9770294.45,5151785.11,16,,60634,1633,1512
38,-9758970.34,5133033.28,9,15,60609,0924,6103
39,-9759631.32,5145835.48,12,1,60622,1213,2421
40,-9766101.17,5148593.73,25,35,60639,2525,2004.02
41,-9761326.81,5146462.05,14,26,60622,1423,2411
42,-9749388.02,5121252.87,4,8,60617,0412,
43,-9763648.46,5130808.05,8,14,60632,0822,6303
44,-9765931.85,5123421.53,8,18,60652,0834,7003.01
45,-9771809.72,5158492.38,16,45,60646,1622,1001
46,-9749842.13,5124205.73,4,8,60649,0414,8342
47,-9759717.68,5163045.27,24,49,60626,0312,102.02
48,-9762415.83,5133110.73,9,15,60632,0922,5805.02
49,-9757596.44,5150219.93,19,43,60655,1932,704
50,-9773874.95,5156501.69,16,41,60661,1613,
51,-9771083.79,5150671.89,25,30,60634,2514,1904.02
52,-9757538.04,5149117.77,18,43,60614,1812,711
53,-9759256.99,5151600.83,19,32,60657,2432,626
54,-9761088.69,5149332.75,14,32,60647,1432,2216
55,-9756201.12,5128323.44,7,16,60621,0711,8348
56,-9755810.32,5111219.35,5,34,60628,0523,5305.03
57,-9766487.52,5151144.19,25,31,60641,,
58,-9759641.99,5119351.99,22,19,60613,2221,7201
59,-9773987.82,5151874.14,16,36,60634,1632,1710
60,-9761637.03,5125779.83,8,18,60629,0831,
61,-9753311.68,5114192.79,5,9,60628,0531,
62,-9764723.65,5152423.21,,30,60618,1732,8311
63,-9756053.25,5126125.24,7,6,60621,0732,6812
64,-9755785.63,5119357.6,20,21,60628,2223,7305
65,-9750532.7,5131601.48,2,4,60615,0222,3907
66,-9757703.62,5136688.41,9,11,60608,0913,6009
67,-9762843.83,5116722.97,22,19,60655,2211,7401
68,-9764856.12,5147163.99,,26,,2535,2307
69,-9752243.13,5126891.71,3,,60657,0321,4212
70,-9750555.31,5130397.71,2,5,60615,0234,4108
71,-9753122.66,5133485.08,2,3,,0221,8360
72,-9766144.51,5154017.91,17,45,,,1610
73,-9761218.52,5142847.24,11,27,60612,1125,2808
74,-9763096.64,5149474.57,14,32,60647,1414,2212
75,-9761043.11,5144635.83,12,26,60612,1221,2429
76,-9772253.14,5151107.24,25,36,60634,2511,1904.01
77,-9749929.18,5121888.49,4,8,60617,0412,4503
78,-9765891.35,5130757.22,8,23,60632,0815,5705
79,-9750956.28,5130769.97,2,4,60615,0234,4107
80,-9756990.85,5128440.11,7,16,60621,,8348
81,-9757230.84,5127941.65,7,16,60660,0724,6810
82,-9760559.93,5161304.26,24,50,60645,2412,205
83,-9770202.04,5156597.11,16,45,60630,1623,1104
84,-9756084.02,5117290.09,22,34,60628,2232,7305
85,-9765391.37,5136175.03,10,22,60623,1031,8305
86,-9759839.28,5158587.01,20,40,60660,2012,304
87,-9756345.8,5128597.09,,,60621,0711,
88,-9770192.54,5129202.52,8,23,60638,0811,5611
89,-9753058.97,5127127.17,3,20,60637,0232,4207
90,-9760372.38,5142211.69,12,27,60612,1225,8380
91,-9755211.33,5143847.97,1,,60601,0122,8391
92,-9768926.13,5145292.81,16,37,60651,1524,2512
93,-9759767.87,5153794.23,19,47,60613,1922,603
94,-9764396.13,5124250.85,8,18,60652,0833,7002
95,-9763753.55,5150553.41,14,35,60647,1412,2206.02
96,-9758643.47,5157024.0,20,47,60640,2033,311
97,-9753268.55,5116523.9,5,9,60628,0512,4909.02
98,-9762506.24,5156036.21,19,40,60625,1033,407
99,-9764886.69,5123254.25,8,18,60652,0834,7004.01
100,-9760769.74,5121459.36,6,18,60620,0614,7005.02
101,-9762194.39,5146592.52,14,26,60622,1423,2426
102,-9757177.77,5115704.1,5,34,60643,2234,7501
103,-9764990.39,5131975.35,8,14,60632,0821,5704
104,-9769051.71,5145613.1,15,37,60651,1524,2512
105,-9759906.43,5139001.58,12,25,60608,1234,3109
106,-9760250.43,5115468.37,22,19,60643,2212,7502
107,-9768583.35,5151825.58,16,31,60641,1634,1510.01
108,-9753516.61,5116685.75,5,9,60624,0512,
109,-9760465.47,5127352.04,8,16,60636,0832,6607
110,-9746620.81,5124940.36,4,7,60649,0113,4314
111,-9771835.46,5130340.07,8,23,60638,0811,5609
112,-9761310.04,5141681.22,11,28,60612,1135,2827
113,-9765747.3,5151169.58,25,31,60641,1114,2104
114,-9751179.87,5129361.23,2,,60637,0235,
115,-9761329.51,5115885.69,22,19,60655,2212,7503
116,-9752338.03,5133797.44,2,4,60653,0214,8410
117,-9770275.0,5127939.21,8,13,60638,0812,6403
118,-9773739.53,5159859.64,16,41,60631,1611,1002
119,-9764675.67,5116514.79,,19,60655,2211,7402
120,-9761445.91,5150249.22,8,1,60647,1431,8364
121,-9761489.02,5156477.25,20,47,60625,2031,402.01
122,-9771385.28,5129782.31,8,13,60638,0811,5611
123,-9760124.67,5157348.86,20,,60640,0412,404.02
124,-9757130.37,5127267.53,7,6,60621,0724,
125,-9763242.62,5140678.55,,24,60623,1022,8431
126,-9759020.8,5114600.73,22,19,60643,2212,7505
127,-9754912.13,5117799.16,5,9,60628,0511,4907
128,-9756460.17,5139627.79,12,11,60616,1235,3102
129,-9764495.07,5158607.61,17,39,60659,1711,1303
130,-9767689.99,5127823.8,8,13,60638,0813,6407
131,-9767511.68,5144979.62,11,28,60644,1111,2517
132,-9768756.75,5145270.47,15,37,60651,1531,2511
133,-9762126.39,5147436.35,22,26,60622,1423,2410
134,-9759558.57,5128693.7,7,15,60636,0714,
135,-9762390.58,5155467.8,17,33,60625,1724,1408
136,-9756559.37,5124474.29,6,17,60660,0621,7102
137,-9757678.32,5149949.89,,43,60639,1932,704
138,-9766010.47,5152210.74,17,46,60641,1731,1613
139,-9763891.74,5125159.11,8,17,60629,0835,6611
140,-9744911.98,5110041.7,4,10,,0433,5501
141,-9767260.41,5132651.6,8,22,60632,0815,5601
142,-9764973.35,5142205.83,11,,60624,1133,2705
143,-9763168.26,5155958.7,17,33,60625,1713,1408
144,-9758993.24,5132077.67,9,20,60609,0931,6113
145,-9760547.7,5163138.83,,49,60645,2424,102.01
146,-9760918.83,5155589.26,19,47,60616,,409
147,-9759455.49,5129497.8,7,15,60636,0715,6704
